[SIGNAL]
nbits = 14
rate = 100000000
data = 	7818
 	7721
 	7632
 	7548
 	7479
 	7421
 	7376
 	7343
 	7329
 	7326
 	7339
 	7366
 	7409
 	7461
 	7524
 	7606
 	7694
 	7792
 	7896
 	8005
 	8113
 	8231
 	8349
 	8459
 	8574
 	8678
 	8774
 	8863
 	8946
 	9019
 	9067
 	9120
 	9146
 	9161
 	9166
 	9154
 	9126
 	9084
 	9028
 	8960
 	8884
 	8795
 	8704
 	8597
 	8488
 	8377
 	8261
 	8146
 	8029
 	7921
 	7813
 	7715
 	7626
 	7543
 	7476
 	7420
 	7377
 	7340
 	7327
 	7322
 	7338
 	7364
 	7407
 	7457
 	7522
 	7603
 	7691
 	7790
 	7890
 	8001
 	8113
 	8228
 	8347
 	8459
 	8569
 	8675
 	8775
 	8861
 	8942
 	9015
 	9070
 	9113
 	9142
 	9159
 	9165
 	9153
 	9124
 	9088
 	9031
 	8963
 	8885
 	8800
 	8700
 	8597
 	8485
 	8376
 	8260
 	8145
 	8033
 	7923
 	7819
 	7720
 	7630
 	7546
 	7471
 	7419
 	7375
 	7343
 	7328
 	7326
 	7340
 	7363
 	7407
 	7461
 	7527
 	7602
 	7692
 	7789
 	7893
 	8003
 	8117
 	8231
 	8348
 	8462
 	8569
 	8675
 	8773
 	8865
 	8942
 	9014
 	9068
 	9114
 	9144
 	9164
 	9162
 	9153
 	9124
 	9084
 	9029
 	8964
 	8885
 	8795
 	8703
 	8595
 	8489
 	8375
 	8260
 	8145
 	8033
 	7920
 	7815
 	7717
 	7629
 	7548
 	7477
 	7422
 	7374
 	7346
 	7327
 	7322
 	7336
 	7362
 	7404
 	7458
 	7526
 	7599
 	7692
 	7789
 	7890
 	8001
 	8113
 	8232
 	8347
 	8459
 	8568
 	8672
 	8776
 	8859
 	8943
 	9012
 	9069
 	9115
 	9147
 	9161
 	9163
 	9153
 	9129
 	9084
 	9029
 	8961
 	8885
 	8796
 	8701
 	8598
 	8487
 	8373
 	8259
 	8146
 	8031
 	7919
 	7816
 	7717
 	7627
 	7546
 	7478
 	7417
 	7376
 	7343
 	7330
 	7321
 	7335
 	7363
 	7406
 	7456
 	7525
 	7601
 	7686
 	7788
 	7892
 	8000
 	8113
 	8228
 	8342
 	8458
 	8567
 	8676
 	8772
 	8863
 	8942
 	9015
 	9074
 	9118
 	9150
 	9165
 	9164
 	9151
 	9124
 	9082
 	9031
 	8963
 	8886
 	8800
 	8706
 	8602
 	8488
 	8380
 	8262
 	8147
 	8034
 	7923
 	7821
 	7722
 	7633
 	7548
 	7480
 	7421
 	7375
 	7346
 	7328
 	7328
 	7338
 	7364
 	7406
 	7461
 	7527
 	7606
 	7692
 	7793
 	7894
 	8002
 	8116
 	8230
 	8348
 	8460
 	8570
 	8675
 	8773
 	8861
 	8943
